"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "HTML", "vue", "JSON", "Less", "JavaScript", "comment", "blank", "total"
"f:\final_project\Code\vuecode\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"f:\final_project\Code\vuecode\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"f:\final_project\Code\vuecode\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3672, 0, 0, 0, 1, 3673
"f:\final_project\Code\vuecode\package.json", "JSON", 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"f:\final_project\Code\vuecode\src\App.vue", "vue", 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
"f:\final_project\Code\vuecode\src\api\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 282, 34, 7, 323
"f:\final_project\Code\vuecode\src\api\mockData\class.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 99, 17, 12, 128
"f:\final_project\Code\vuecode\src\api\mockData\course.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 272, 17, 11, 300
"f:\final_project\Code\vuecode\src\api\mockData\home.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 68, 0, 2, 70
"f:\final_project\Code\vuecode\src\api\mockData\permission.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 187, 6, 9, 202
"f:\final_project\Code\vuecode\src\api\mockData\record.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 115, 8, 6, 129
"f:\final_project\Code\vuecode\src\api\mockData\student.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 170, 8, 10, 188
"f:\final_project\Code\vuecode\src\api\mockData\teacher.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 143, 11, 7, 161
"f:\final_project\Code\vuecode\src\api\requset.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 40, 7, 5, 52
"f:\final_project\Code\vuecode\src\assets\less\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\final_project\Code\vuecode\src\assets\less\reset.less", "Less", 0, 0, 0, 0, 0, 0, 158, 0, 3, 14, 175
"f:\final_project\Code\vuecode\src\components\CommonAside.vue", "vue", 0, 0, 0, 0, 177, 0, 0, 0, 0, 13, 190
"f:\final_project\Code\vuecode\src\components\CommonHeader.vue", "vue", 0, 0, 0, 0, 171, 0, 0, 0, 0, 15, 186
"f:\final_project\Code\vuecode\src\components\CommonTab.vue", "vue", 0, 0, 0, 0, 48, 0, 0, 0, 0, 2, 50
"f:\final_project\Code\vuecode\src\config\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 1, 2, 19
"f:\final_project\Code\vuecode\src\hooks\handCollapse.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"f:\final_project\Code\vuecode\src\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 23, 12, 15, 50
"f:\final_project\Code\vuecode\src\router\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 70, 33, 10, 113
"f:\final_project\Code\vuecode\src\stores\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 321, 2, 9, 332
"f:\final_project\Code\vuecode\src\stores\websocket.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 68, 16, 1, 85
"f:\final_project\Code\vuecode\src\types\Class.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"f:\final_project\Code\vuecode\src\views\Classes.vue", "vue", 0, 0, 0, 0, 499, 0, 0, 0, 3, 25, 527
"f:\final_project\Code\vuecode\src\views\CourseInfo.vue", "vue", 0, 0, 0, 0, 749, 0, 0, 0, 0, 25, 774
"f:\final_project\Code\vuecode\src\views\CourseSelected.vue", "vue", 0, 0, 0, 0, 233, 0, 0, 0, 1, 15, 249
"f:\final_project\Code\vuecode\src\views\Home.vue", "vue", 0, 0, 0, 0, 250, 0, 0, 0, 0, 17, 267
"f:\final_project\Code\vuecode\src\views\Login.vue", "vue", 0, 0, 0, 0, 156, 0, 0, 0, 1, 13, 170
"f:\final_project\Code\vuecode\src\views\Main.vue", "vue", 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"f:\final_project\Code\vuecode\src\views\MyStudents.vue", "vue", 0, 0, 0, 0, 155, 0, 0, 0, 0, 11, 166
"f:\final_project\Code\vuecode\src\views\Register.vue", "vue", 0, 0, 0, 0, 132, 0, 0, 0, 0, 11, 143
"f:\final_project\Code\vuecode\src\views\Students.vue", "vue", 0, 0, 0, 0, 466, 0, 0, 0, 3, 22, 491
"f:\final_project\Code\vuecode\src\views\Teachers.vue", "vue", 0, 0, 0, 0, 445, 0, 0, 0, 0, 14, 459
"f:\final_project\Code\vuecode\src\views\recordManage.vue", "vue", 0, 0, 0, 0, 253, 0, 0, 0, 1, 19, 273
"f:\final_project\Code\vuecode\src\views\recordSet.vue", "vue", 0, 0, 0, 0, 562, 0, 0, 0, 4, 21, 587
"f:\final_project\Code\vuecode\tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"f:\final_project\Code\vuecode\vite.config.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"Total", "-", 33, 22, 3, 13, 4339, 3704, 159, 1883, 190, 361, 10707